Headline,Link
"Timelapse shows Blood Moon rising around the worldAs the Moon passes through the Earth's shadow, it takes on a deep red hue, creating a striking ""Blood Moon"".15 hrs ago",https://www.bbc.com/news/videos/c93071yz5zzo
"'He put his hand down my tights': Sexual harassment widespread among barristers, review findsWidespread problems with sexual harassment and bullying within the Bar are detailed in a report.5 hrs agoUK",https://www.bbc.com/news/articles/c8xrejzk0edo
"Greta Thunberg's Gaza flotilla arrives in TunisiaThe boats, carrying 350 pro-Palestinian activists and stocked with medical and food supplies, are en route to Gaza.13 hrs agoMiddle East",https://www.bbc.com/news/articles/c4gjz0d366eo
"Ryan Routh to stand trial for alleged Trump assassination attemptA court case for Mr Routh, who has pleaded not guilty, begins on Monday - with the defendant representing himself.9 hrs agoUS & Canada",https://www.bbc.com/news/articles/c8xre584drdo
"Timelapse shows Blood Moon rising around the worldAs the Moon passes through the Earth's shadow, it takes on a deep red hue, creating a striking ""Blood Moon"".15 hrs ago",https://www.bbc.com/news/videos/c93071yz5zzo
"Palestinian prisoners not being given adequate food, Israel top court saysThe court said the state is legally obligated to provide enough food to ensure ""a basic level of existence.""
7 hrs agoMiddle East",https://www.bbc.com/news/articles/c1mxlk518vko
Supertramp singer and co-writer Rick Davies dies at 81He was behind some of the band's best-known hits including Bloody Well Right and Goodbye Stranger.1 hr agoCulture,https://www.bbc.com/news/articles/cp98zg2k2xko
"'He put his hand down my tights': Sexual harassment widespread among barristers, review findsWidespread problems with sexual harassment and bullying within the Bar are detailed in a report.5 hrs agoUK",https://www.bbc.com/news/articles/c8xrejzk0edo
1New Zealand dad shot dead by police after years on the run with children,https://www.bbc.com/news/articles/c75qlerp2e5o
2Trump threatens tougher sanctions after Russia's heaviest strikes on Ukraine,https://www.bbc.com/news/articles/cwyrx205dj2o
3Huge drugs bust reveals battles on cocaine 'superhighway',https://www.bbc.com/news/articles/c5yvplyrrwno
4Australian triple murderer jailed for life over toxic mushroom lunch,https://www.bbc.com/news/articles/c1jzr1d5xk9o
5'Overwhelming support' after JD Vance walkout,https://www.bbc.com/news/articles/c8e1er5zznzo
"6Duped of millions in 'digital arrest', Indian woman seeks answers from banks",https://www.bbc.com/news/articles/clydllln9lgo
"7Five killed in Jerusalem shooting attack, paramedics say",https://www.bbc.com/news/articles/cr70ny0l7vgo
8A survivor's plea for kindness: How Australia's mushroom murder case ended,https://www.bbc.com/news/articles/cly1v06xz7qo
9South Korean worker tells BBC of panic during US immigration raid at Hyundai plant,https://www.bbc.com/news/articles/c5yqg0rln74o
10'Suitcase murder' trial begins in New Zealand,https://www.bbc.com/news/articles/cn83jjx9pjvo
News,https://www.bbc.com/news
